,outputs,gt,train_loss,error,outputs_b,gt,train_loss,error
207,1249.263864,1252.5,188.6637421,0.002590434,1154.932632,1133.53,3142.553467,-0.018531498
208,1244.841723,1266.45,160.4007111,0.017358253,1128.740705,1190.45425,3650.749512,0.054674688
209,1251.624681,1266.45,426.0538025,0.01184486,1134.606315,1181.149838,6093.812988,0.041021738
210,1266.991012,1266.45,572.9681396,-0.000427005,1198.079062,1184.03,3149.273438,-0.011726323
211,1263.28715,1250.05,640.0286865,-0.010478338,1164.869718,1207.744875,3900.192139,0.036806826
212,1261.724197,1252.9,501.7017212,-0.006993761,1177.774392,1226.617038,3114.661621,0.04147029
213,1266.729552,1274.3,459.3500061,0.005976373,1245.924972,1219.09,1600.11084,-0.021538193
214,1259.475772,1284.15,692.7391357,0.019590871,1205.853651,1180.023713,2644.383301,-0.021420458
215,1266.231192,1284.15,1366.112549,0.014151293,1203.264161,1185.260057,1744.976318,-0.014962719
216,1273.723358,1284.15,1709.674805,0.008185955,1220.184118,1170.36,1691.324463,-0.040833279
217,1280.322219,1284.15,1066.662842,0.002989701,1215.92596,1186.927413,2717.377197,-0.023848941
218,1291.620949,1284.15,150.3787537,-0.005784165,1190.600157,1205.634875,1672.087646,0.012627848
219,1293.840613,1278.95,19.74101067,-0.011508846,1185.698943,1176.97,696.8528442,-0.007361854
220,1282.651805,1279.05,63.31149292,-0.002808093,1185.477047,1217.930088,708.0255737,0.027375512
221,1281.593009,1282.1,51.71025848,0.000395594,1190.715966,1241.686325,1613.930786,0.04280648
222,1280.731384,1281.85,43.51543808,0.00087342,1197.300675,1236.63,2710.30542,0.032848327
223,1280.759398,1281.85,30.26819992,0.000851528,1202.223769,1261.311225,2842.596924,0.049148468
224,1281.396068,1281.85,17.5415287,0.000354248,1225.29589,1257.988113,4342.838867,0.026681084
225,1281.775024,1269.4,9.491558075,-0.009654599,1255.041996,1240.84,1370.963867,-0.011315953
226,1278.986471,1267.8,190.045929,-0.008746356,1272.246748,1279.414688,563.928772,0.00563408
227,1275.064189,1261.85,350.7698669,-0.010363548,1255.097976,1309.109875,1347.985718,0.04303401
228,1267.909252,1262.8,515.2405396,-0.004029667,1288.707176,1288.02,2797.579102,-0.000533229
229,1265.957431,1266.45,391.0129395,0.000389088,1275.737722,1331.294429,2966.295166,0.04354869
230,1264.763841,1266.45,88.51573944,0.001333181,1290.304902,1334.979038,4740.913574,0.03462293
231,1264.707468,1266.45,48.46636963,0.001377814,1327.965002,1333,2654.537109,0.003791514
232,1265.931005,1266.45,38.12667847,0.000409971,1349.21616,1417.172813,1777.115479,0.050367506
233,1266.354055,1255.45,16.40717888,-0.00861059,1340.113761,1452.076288,9114.048828,0.083547032
234,1252.264517,1250.3,153.0567322,-0.001568772,1398.750525,1447.55,13563.10449,0.034887905
235,1257.816923,1228.45,439.8494568,-0.023347534,1402.57357,1508.292125,14143.13574,0.075374695
236,1249.072854,1228.05,1519.735474,-0.016830767,1434.368849,1533.335071,16928.15039,0.068996355
237,1241.005029,1228.05,1764.115479,-0.010439143,1562.386049,1518.75,9665.477539,-0.027929108
238,1233.681349,1228.05,1142.542114,-0.004564671,1523.935013,1535.868429,9171.34082,0.00783066
239,1229.448454,1229.8,569.4221802,0.000285938,1508.137471,1640.619225,5348.779785,0.087844614
240,1227.838483,1220.4,50.11316681,-0.006058193,1606.626963,1651.1,12151.92383,0.027680998
241,1226.943517,1222.95,75.10105133,-0.00325485,1599.056249,1762.88625,17188.60742,0.102454183
242,1214.898175,1223.15,94.23788452,0.006792195,1623.560962,1820.990563,38800.80078,0.121602826
243,1219.279861,1231.25,122.9347382,0.009817384,1687.834758,1829,49415.23438,0.083636885
244,1205.351628,1231.25,145.1183167,0.021486155,1859.104065,1771.920013,31792.78516,-0.046895735
245,1227.232507,1231.25,323.5172119,0.00327362,1769.634772,1776.3165,23776.69336,0.003775767
246,1229.485511,1233.3,123.4729233,0.003102508,1907.400901,1780,5174.967773,-0.066792933
247,1231.324433,1234.2,84.87581635,0.002335345,1840.167793,1739.031975,7730.255371,-0.054960107
248,1234.029359,1257.4,15.11406136,0.018938481,1783.956181,1807.485063,5771.308594,0.013189159
249,1238.04296,1255.9,720.701416,0.014423603,1772.93381,1783.98,2428.785645,0.006230458
250,1245.018364,1252,1034.793945,0.005607657,1776.976374,1961.520488,2407.24585,0.10385288
251,1252.261324,1252,852.9797974,-0.000208682,1815.553529,2052.909788,28811.56836,0.130734927
252,1253.944248,1252,482.5249023,-0.001550506,1867.160274,2008.84,65540.52344,0.075879788
253,1276.418695,1258.85,65.37413788,-0.013764053,1904.107663,2090.662313,50776.80859,0.097974844
254,1252.465522,1260.2,268.7480774,0.006175402,1977.265642,2287.710288,54660.61328,0.15700705
255,1255.697681,1252.55,109.0479736,-0.002506719,2249.318873,2256.32,61764.58594,0.003112554
256,1256.511754,1256.95,104.2132187,0.00034878,2199.899142,2387.206286,55093.69922,0.085143514
257,1256.680459,1265.05,74.33653259,0.006660039,2163.348105,2211.976857,80074.13281,0.022478468
258,1259.569095,1265.05,124.2285309,0.004351413,2271.808556,2279.82,50772.13281,0.003526461
259,1261.771331,1265.05,189.314743,0.002598465,2481.675861,2192.9808,17369.62891,-0.116330688
260,1263.159133,1265.05,215.3562927,0.001496935,2248.592323,2275.9307,35584.25781,0.012157996
261,1264.650142,1262.7,79.78120422,-0.001542041,2360.821015,2290.02,24699.48047,-0.029989997
262,1269.080181,1266.2,11.0127964,-0.002269503,2236.122716,2285.933914,10620.4707,0.0222757
263,1264.57682,1264.85,15.80485535,0.000216025,2266.054684,2399.242671,5451.773926,0.058775275
264,1264.608113,1274.95,9.192808151,0.008177938,2276.370607,2409.93,18353.3418,0.058672078
265,1266.996046,1274.95,141.4342957,0.006277805,2328.148142,2525.765158,14702.46289,0.084881633
266,1270.092087,1274.95,223.6005096,0.003824851,2292.230706,2516.173143,33301.85156,0.097696291
267,1273.841581,1279.95,186.8275299,0.004795274,2423.608761,2529.53,41651.14063,0.043703935
268,1275.51931,1293.5,174.4841766,0.01409676,2580.740752,2883.313697,15060.06836,0.117242673
269,1288.469247,1291,422.475647,0.001964155,2560.655699,2664.920863,106806.7031,0.04071815
270,1285.401716,1273.1,556.038269,-0.009570328,2702.819641,2683.03,75546.67188,-0.00732185
271,1284.858822,1266.55,613.9388428,-0.014249676,2589.66164,2827.4913,64647.40625,0.091838121
272,1284.813653,1266.55,924.9406128,-0.014215021,2678.194582,2845.372857,93018.53125,0.062422005
273,1286.448561,1266.55,1134.260498,-0.015467825,3139.900418,2898.63,35019.15625,-0.07684015
274,1267.758008,1266.4,774.0852661,-0.001071189,2732.682153,2657.675063,50923.60156,-0.027448158
275,1266.595978,1262,67.55592346,-0.003628606,2728.728368,2748.185086,38396.30469,0.007130324
276,1265.441812,1275.5,26.21629715,0.007948361,2798.193731,2706,28043.37891,-0.032947587
277,1267.168127,1254.55,139.5325623,-0.009957737,2793.958097,2442.48025,24367.82422,-0.125799255
278,1262.854993,1255.4,300.1854553,-0.005903285,2767.136891,2464.959814,79827.48438,-0.10920207
279,1245.38345,1255.4,423.1472778,0.008042945,2611.486945,2477.94,74271.76563,-0.051138278
280,1253.78642,1255.4,570.4205933,0.001286966,2593.954062,2507.389252,56552.01172,-0.033371759
281,1265.245878,1248.15,464.1649475,-0.013511902,2558.996797,2617.210263,35966.53125,0.02274855
282,1252.923629,1242.2,128.9193878,-0.008558885,2475.941244,2600,18227.53516,0.050105695
283,1250.423371,1242.5,220.4376678,-0.006336551,2410.193607,2671.04325,13483.75,0.108227672
284,1246.645653,1250.8,272.9697876,0.00333242,2574.566112,2727.288013,30476.18164,0.059319471
285,1245.670547,1255.7,211.3004608,0.008051449,2586.861888,2713.48,24707.19727,0.048946607
286,1228.895689,1255.7,225.6309052,0.021811706,2597.930271,2589.164888,13353.64844,-0.003373987
287,1252.71416,1255.7,457.6078491,0.002383497,2661.970366,2512.366286,15744.40625,-0.056200505
288,1254.261821,1245.25,198.0965881,-0.00718496,2694.68953,2502.03,18195.52734,-0.071496003
289,1253.36344,1249.55,144.098877,-0.003042565,2671.544804,2517.903114,28769.44727,-0.05751043
